,a,b,c,d,e,f,g,h,i,j
0,1.160490606986311,2.0172683912760805,0.3997862822192137,-0.9660168358243965,-0.617998298536477,1.104240365697318,-1.2621653799383747,0.5298221510515526,0.5832753412023557,-0.8648759275219173
1,0.39848043961423263,2.1295036056883676,-0.5195118335758215,0.8513342321369042,0.28982559720303047,-0.7140875461915729,1.8521856156499796,-2.8392707045287646,0.7359045754397335,-0.4736402342749829
2,-0.4551505161297648,-2.0132859057384596,-1.2141675890060997,-2.0144231469780047,-1.0255948458089392,-1.4495031648482228,0.5382723147588062,-0.25079848366297147,-0.28250265603787805,0.032299516135811904
3,-1.0410959967968263,1.2791970452120776,0.997768358443409,-0.27349831682010567,-0.04393599380823566,-0.5181684042736917,0.6999748091542632,-0.44409630308740333,-0.18587891089867087,-0.18815498148463375
4,-0.35727440517231,0.16232841037380177,0.3364124608073567,-0.17367862827586528,1.493922433852594,0.4660406548043604,-0.08127849980134326,0.9773042759995308,1.7546045373349737,0.049281090969178
5,0.22735713025578205,0.053687973483426646,-0.001140472335778445,-0.5400997288643565,-0.49091192084997926,-0.726554479394566,0.41549050117223535,-0.03107072979996468,-0.17054591872228456,0.4596215794280254
6,-0.019764787398022142,-0.09721308829168838,-0.3096555842560268,-0.42256864912171765,-0.2134311869590453,0.8344766296160719,-1.7729166530209004,-1.5054443990819772,-0.2911723770184487,1.3407098345552688
7,-0.8208167495670577,-1.1096272684318258,-1.3008573652218185,-0.9847518899564196,-1.1862249768979871,0.49388799851518356,0.0017061880721635973,-0.6249158734085639,0.1677429333363698,1.0471473615418099
8,0.8065227116060056,-0.41453516646133015,2.1740272022509144,0.575590154980224,1.8640469310199033,-0.2623383153166773,-1.489001081996851,0.024111322734247268,1.0382173721323626,-0.12921769671096842
9,1.6736630990635233,-0.12678599072779595,1.0129634936338285,-0.6089074517872376,-0.16993342563096397,0.7183454200086544,0.007054986154428861,0.3185804525727783,1.3415891756886973,-1.8947206390130762
